Order ID,Customer ID,Customer Name,Segment,Country,City,State,Region,Postal Code
CA-2016-152156,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,South,42420
CA-2016-152156,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,South,42420
CA-2016-138688,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,West,90036
US-2015-108966,SO-20335,Sean O''Donnell,Consumer,United States,Fort Lauderdale,Florida,South,33311
US-2015-108966,SO-20335,Sean O''Donnell,Consumer,United States,Fort Lauderdale,Florida,South,33311
CA-2014-115812,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,90032
CA-2014-115812,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,90032
CA-2014-115812,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,90032
CA-2014-115812,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,90032
CA-2014-115812,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,90032
CA-2014-115812,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,90032
CA-2014-115812,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,90032
CA-2017-114412,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,South,28027
CA-2016-161389,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,West,98103
US-2015-118983,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,76106
US-2015-118983,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,76106
CA-2014-105893,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,Central,53711
CA-2014-167164,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,West,84084
CA-2014-143336,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,94109
CA-2014-143336,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,94109
CA-2014-143336,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,94109
CA-2016-137330,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,Central,68025
CA-2016-137330,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,Central,68025
US-2017-156909,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,East,19140
CA-2015-106320,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,West,84057
CA-2016-121755,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,90049
CA-2016-121755,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,90049
US-2015-150630,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,19140
US-2015-150630,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,19140
US-2015-150630,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,19140
US-2015-150630,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,19140
